"","symbol","MEcolor","gene.signif.corr","gene.signif.corr.pval"
"1","Aaas","grey",0.0293199334115175,0.911057927936133
"2","Aacs","pink",-0.343368144308915,0.177220089996296
"3","Aagab","brown",-0.0153860913583531,0.953263265819697
"4","Aak1","turquoise",0.205401479788045,0.429018445190614
"5","Aamdc","turquoise",-0.172326441352178,0.508371374440148
"6","Aar2","brown",-0.577217041873485,0.0152600725253294
"7","Aard","brown",-0.486603989830304,0.0476170821654595
"8","Aars1","turquoise",-0.285131553360477,0.267297203813036
"9","Aasdhppt","turquoise",-0.297952787518476,0.245423093157247
"10","Aatf","brown",-0.143696946859938,0.58216994642906
"11","Aatk","brown",0.121793389898731,0.641460891101931
"12","Abat","blue",0.497168439755441,0.042311720008676
"13","Abca1","blue",0.234343836121713,0.365292645924116
"14","Abca2","turquoise",-0.169514846983641,0.515418424137957
"15","Abca5","turquoise",0.405910918095199,0.105958830070341
"16","Abca7","turquoise",-0.259415660462574,0.314666892018629
"17","Abca9","green",0.195526257681203,0.452006566594383
"18","Abcb1","turquoise",-0.0525945807360929,0.841110587267281
"19","Abcb10","green",0.157176261505398,0.546870479572886
"20","Abcb6","turquoise",0.274111479797678,0.287026424636522
"21","Abcb7","brown",-0.17763125095433,0.495199836549632
"22","Abcb8","blue",-0.033193925614359,0.899358928864464
"23","Abcb9","turquoise",-0.200748274371635,0.439773641769115
"24","Abcc4","turquoise",0.062100038148831,0.812835354014624
"25","Abcc5","green",0.193804028318617,0.456078407881733
"26","Abcc8","turquoise",0.40645210731543,0.105449358263794
"27","Abcd2","brown",-0.298976486096404,0.243726635922809
"28","Abcd3","turquoise",-0.42322721760382,0.0905074969403514
"29","Abce1","brown",0.406438571557518,0.105462079479488
"30","Abcf1","yellow",0.421623794954728,0.0918656409190848
"31","Abcf3","brown",0.281769952830721,0.273224585835203
"32","Abcg1","turquoise",-0.239426208886054,0.354680759992329
"33","Abcg4","grey",-0.460554791684744,0.0628256086319404
"34","Abhd10","brown",-0.235937790147316,0.361945573666507
"35","Abhd11","turquoise",-0.186828485881842,0.472757768606499
"36","Abhd12","turquoise",-0.667575574451947,0.0034098536092462
"37","Abhd13","turquoise",-0.298267820094823,0.244900238155724
"38","Abhd14a","turquoise",-0.587362322124646,0.0131696471080658
"39","Abhd16a","turquoise",-0.0718547128126092,0.784044655073405
"40","Abhd17a","blue",-0.353324026712022,0.164168427582961
"41","Abhd17b","brown",-0.375090899095172,0.137931713256102
"42","Abhd17c","blue",0.0237311252777763,0.927965364847165
"43","Abhd2","turquoise",0.174090293033033,0.503973657139339
"44","Abhd3","turquoise",-0.305669409991768,0.232817376717916
"45","Abhd4","turquoise",-0.596778530756985,0.0114384523752913
"46","Abhd5","turquoise",-0.482981872845063,0.0495465384078602
"47","Abhd6","turquoise",-0.249874183828454,0.333421554422182
"48","Abhd8","blue",-0.528915105016006,0.0290341323133033
"49","Abi1","turquoise",-0.111972732735971,0.668753327784773
"50","Abi2","blue",0.147301272619024,0.572638216463674
"51","Abl1","turquoise",-0.0488919975250522,0.852176224435558
"52","Abl2","turquoise",-0.0668300453721776,0.798844191568968
"53","Ablim1","brown",-0.410598150104591,0.101603898773167
"54","Ablim2","green",-0.149382573671971,0.56716460349875
"55","Ablim3","turquoise",0.239784479666028,0.353939346672014
"56","Abr","turquoise",0.191498816149781,0.461557365437031
"57","Abt1","turquoise",-0.116262172284052,0.656781901729502
"58","Abtb1","yellow",-0.32977279240536,0.196133785772388
"59","Acaa2","blue",-0.127895544004604,0.624715943948723
"60","Acaca","turquoise",0.245772838486409,0.341677216571326
"61","Acad10","turquoise",-0.462135158516691,0.0618118730443899
"62","Acad11","blue",0.388429280992228,0.123369351892875
"63","Acad8","grey",-0.396329728956561,0.11526987220365
"64","Acad9","turquoise",0.0180755022255608,0.945104622589136
"65","Acadl","turquoise",-0.13249990485438,0.612194473952596
"66","Acadm","turquoise",-0.0955534814235946,0.715257422419051
"67","Acads","brown",0.0690247968087472,0.792371549433085
"68","Acadsb","turquoise",0.0929293103008105,0.722783347973217
"69","Acadvl","yellow",-0.214554694409492,0.408268141859607
"70","Acap2","turquoise",-0.179804512298737,0.489851378897554
"71","Acap3","grey",0.0944858883931861,0.718316251100033
"72","Acat1","turquoise",-0.0192543443284528,0.941530047047704
"73","Acbd3","brown",0.128241039236544,0.623772945605243
"74","Acbd4","turquoise",-0.369474109787532,0.144404599688515
"75","Acbd5","black",0.362738581321076,0.152437808416721
"76","Acbd6","pink",0.134169568485491,0.607678581698284
"77","Acd","blue",-0.38081337492638,0.131545832330638
"78","Acer3","turquoise",0.0237108205897307,0.928026848582904
"79","Ache","turquoise",-0.302838905331481,0.237392475055459
"80","Acin1","blue",0.43097460995663,0.0841483810957113
"81","Ackr1","turquoise",0.220711376917532,0.394618529371337
"82","Ackr3","blue",-0.508336470179918,0.0372028271457534
"83","Acly","grey",-0.0263008234995592,0.9201873953855
"84","Aco1","grey",0.286656126583584,0.264635299882043
"85","Aco2","turquoise",-0.129906250843627,0.619235663916252
"86","Acot11","black",-0.408238408622168,0.103780097120291
"87","Acot13","turquoise",-0.356463675193917,0.160190816577047
"88","Acot7","pink",0.0215565766795093,0.934552142311724
"89","Acot8","red",-0.121323440700758,0.642757412696534
"90","Acot9","brown",0.0705718353808153,0.787816772700811
"91","Acox1","brown",0.0853481908509312,0.744658648702226
"92","Acox3","blue",-0.106002965596161,0.685540227849824
"93","Acp1","grey",0.164793956826363,0.527352154913183
"94","Acp2","grey",0.0474059260606922,0.85662499437357
"95","Acsbg1","turquoise",-0.442351170834726,0.0754061019235465
"96","Acsf2","turquoise",0.148808749928931,0.568671457711242
"97","Acsf3","turquoise",-0.265080405966315,0.30383287092783
"98","Acsl1","turquoise",0.472762626589207,0.0553066686098367
"99","Acsl3","turquoise",-0.173042572100959,0.506583713034499
"100","Acsl4","turquoise",0.231938515782979,0.370376096433344
"101","Acsl6","turquoise",-0.175026598264373,0.501646550228062
"102","Acsm5","turquoise",-0.272475301509312,0.290028715044831
"103","Acss1","turquoise",-0.486979341786022,0.0474204174758929
"104","Acss2","turquoise",-0.0878721019657951,0.737354492400413
"105","Acss3","turquoise",0.111760476293692,0.669347708101114
"106","Actb","brown",0.393875937984549,0.117744230546205
"107","Actg1","brown",-0.00347142411191459,0.989450081141638
"108","Actl6a","brown",0.144676072900417,0.579574064774435
"109","Actl6b","turquoise",-0.318114009032081,0.213370617991971
"110","Actn1","turquoise",-0.0298288715869976,0.909519958792393
"111","Actn4","turquoise",0.178283050581588,0.493592812072565
"112","Actr10","blue",-0.0757617617743191,0.772584831322116
"113","Actr1a","blue",-0.522320265917289,0.0314845185067418
"114","Actr1b","brown",-0.178388449092562,0.493333185192905
"115","Actr2","grey",-0.057265946402955,0.827189885818422
"116","Actr3","blue",0.353322924982126,0.164169834940805
"117","Actr3b","grey",-0.202953132650809,0.434660261404246
"118","Actr5","purple",-0.462161053565144,0.0617953640372472
"119","Actr6","grey",0.133419216937788,0.609706389918228
"120","Actr8","grey",-0.147778216596519,0.571381919516034
"121","Acvr1","grey",-0.00721998198801696,0.978059837110358
"122","Acvr2a","yellow",0.204322482568221,0.431500102390702
"123","Acy1","turquoise",-0.375072031842343,0.137953114961087
"124","Acy3","red",-0.283309843866538,0.270499445320124
"125","Acyp1","turquoise",-0.278564229596733,0.27895146419089
"126","Acyp2","turquoise",-0.0294631122849803,0.910625222791979
"127","Adal","grey",-0.0769246346724745,0.769182443189058
"128","Adam10","blue",0.117757037096935,0.652628174089049
"129","Adam11","turquoise",-0.149313249364989,0.567346557228532
"130","Adam17","turquoise",-0.394771711755391,0.116836664465105
"131","Adam22","turquoise",-0.0967050551713871,0.711962562974087
"132","Adam23","turquoise",0.409574356898964,0.102544028224813
"133","Adam9","turquoise",-0.176284316630743,0.498528641914021
"134","Adap1","turquoise",-0.40543128172489,0.10641181487991
"135","Adar","yellow",0.0809364815177177,0.757475278684014
"136","Adarb1","turquoise",0.0757192477626848,0.77270929546272
"137","Adat2","turquoise",-0.0764151287024451,0.770672693378221
"138","Adck1","blue",0.0387709829744152,0.882551806076925
"139","Adck2","turquoise",-0.14469455294174,0.579525116883676
"140","Adck5","grey",0.00403611274008249,0.987734062613639
"141","Adcy1","brown",-0.195036357313198,0.453162952868775
"142","Adcy2","turquoise",0.21915307756726,0.398049726507372
"143","Adcy3","turquoise",0.439681605578969,0.0773951200514425
"144","Adcy5","turquoise",0.323081594079344,0.205910707047045
"145","Adcy6","turquoise",0.354900071045107,0.162163502248727
"146","Adcyap1","turquoise",-0.536548418418661,0.0263841628062406
"147","Adcyap1r1","turquoise",-0.0724742074688796,0.782224740790435
"148","Add1","grey",-0.088488596814107,0.735573565783431
"149","Add2","blue",0.556221096798009,0.0204120563120066
"150","Add3","blue",0.124717057030101,0.633417028681012
"151","Adgra1","turquoise",0.133548692239976,0.609356293538041
"152","Adgra3","turquoise",-0.0920189507740668,0.725399853683988
"153","Adgrb1","turquoise",-0.430415445859567,0.084596187693035
"154","Adgrb2","brown",-0.291095913576608,0.256977007142871
"155","Adgrb3","blue",0.258888122394882,0.315687253401733
"156","Adgrf5","turquoise",-0.253514028339772,0.326192396896509
"157","Adgrg1","blue",-0.56835631681047,0.0172919013998709
"158","Adgrl1","blue",0.030683358796472,0.90693845475685
